"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Armenia","ARM","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","10.0995","10.1155","10.8289","11.7685","12.6822","13.8422","14.2322","14.7678","15.3786","15.959","17.0238","17.4361","17.9758","18.0297","18.1671","18.2517","18.4423","18.6401","18.5454","18.1265","20.7801","21.5981","10.9766","5.1153","2.8083","3.5412","2.5941","3.3384","3.4726","3.1042","3.5696","3.6333","3.1013","3.4707","3.759","4.4625","4.4455","5.154","5.6482","4.5018","4.2988","4.9037","5.6692","5.4924","5.7603","5.6166","5.3743","5.6886","5.9509","6.4241","6.9138","7.5092","7.2893","7.7251",
"American Samoa","ASM","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001",
"Antigua and Barbuda","ATG","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","0.1024","0.1023","0.1246","0.1257","0.1119","0.1355","0.1229","0.1357","0.1357","0.1342","0.1327","0.1163","0.1476","0.0853","0.1043","0.1047","0.1107","0.1462","0.1579","0.1618","0.1637","0.1644","0.1655","0.1613","0.1757","0.1839","0.1824","0.193","0.1976","0.2002","0.1354","0.1323","0.1497","0.1633","0.1659","0.172","0.1958","0.2143","0.2307","0.2662","0.2785","0.2122","0.2261","0.2593","0.2795","0.2908","0.3147","0.277","0.2949","0.3403","0.2759","0.3052","0.3065","0.3231",
"Australia","AUS","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","160.3769","162.1077","167.9569","177.3185","186.8463","193.595","196.384","209.6638","205.9886","211.8454","222.0147","222.9747","229.2624","217.7334","223.519","237.9354","238.3953","249.5845","258.3833","274.1612","277.7123","279.7336","283.1129","287.0239","292.3756","302.6923","312.6713","322.3709","342.1087","348.1127","353.8697","360.4081","368.6209","368.115","381.942","384.0857","390.1513","400.6653","404.2851","410.2594","415.2731","412.8096","413.3193","405.6523","396.2575","400.5424","408.5061","410.8371","409.2067","407.8604","392.5191","384.6772","374.8785","373.6164",
"Austria","AUT","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","52.9672","55.6333","57.8461","61.156","58.6676","56.3427","61.6789","58.9658","60.8685","63.3083","61.4529","57.9918","55.8364","55.8522","57.6595","59.1314","57.923","58.5075","57.1106","57.1139","61.5593","65.5004","60.5095","60.5648","61.0913","64.0531","67.9724","67.5303","68.0915","66.2254","66.6907","71.376","73.216","78.1656","79.6051","80.41","78.268","75.4382","75.2369","68.0563","73.7958","72.1947","69.0271","69.6127","65.929","67.3691","67.7825","70.1063","67.1868","68.5332","62.5998","66.1753","61.2237","58.8151",
"Azerbaijan","AZE","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","24.2267","24.2495","25.871","28.0467","30.2288","32.7151","33.7414","34.9679","36.9661","38.3841","40.4242","41.6383","42.417","43.2745","44.0578","44.7896","45.6652","46.638","46.5325","46.6666","56.1243","54.8341","44.9013","39.3849","34.512","33.8799","28.4018","27.4202","27.3769","27.3926","28.7944","27.717","27.4863","29.7753","29.5009","31.2192","31.9393","28.9208","32.2306","27.9822","26.6358","29.4687","32.2806","33.2113","34.7241","34.5224","34.4149","34.2297","34.7619","36.9813","35.404","37.4346","39.4268","42.7662",
"Burundi","BDI","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","0.0583","0.0584","0.0582","0.06","0.0642","0.0664","0.0687","0.071","0.0722","0.0822","0.0811","0.0883","0.0737","0.0897","0.1063","0.1063","0.1115","0.1621","0.2296","0.2438","0.2004","0.2829","0.2228","0.2479","0.2568","0.2528","0.2717","0.2717","0.2868","0.2953","0.2947","0.2344","0.2214","0.1834","0.2185","0.1839","0.2323","0.3719","0.2214","0.2228","0.3212","0.4189","0.4041","0.4569","0.4065","0.4318","0.482","0.5362","0.7209","0.7942","0.8821","0.8874","0.8396","0.8443",
"Belgium","BEL","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","139.2567","129.1389","140.7476","146.1458","144.9777","127.6903","137.3342","134.7522","139.1765","148.4197","137.7779","125.8692","118.1268","108.4403","111.2359","108.8066","109.3708","109.4755","111.7281","112.803","115.8086","119.7312","117.6273","115.6967","122.1112","122.4165","127.4091","124.4185","127.4042","123.0367","124.9696","125.934","118.4934","123.3716","121.9811","119.1447","116.1913","113.0234","114.3817","107.4038","114.977","104.5725","103.0863","104.4225","97.7245","102.3791","101.261","99.7004","100.0981","99.8825","92.267","96.251","89.7393","84.3061",
"Benin","BEN","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","0.3114","0.3617","0.4616","0.4765","0.489","0.5486","0.3659","0.4271","0.4541","0.5095","0.5354","0.445","0.5166","0.5097","0.5236","0.6167","0.5528","0.5021","0.4546","0.4008","0.3971","0.3489","0.3793","0.3841","0.3903","0.3967","1.0743","1.3638","1.3144","1.4403","1.5449","1.8564","2.142","2.3992","2.5577","2.8009","3.8581","4.3968","4.3641","4.682","5.0792","4.9588","4.7231","4.9691","5.4582","5.8087","7.1455","7.2415","8.2462","8.0279","8.5747","6.4578","6.619","6.4379",
"Burkina Faso","BFA","Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)","EN.GHG.CO2.MT.CE.AR5","","","","","","","","","","","0.2263","0.2266","0.2257","0.2332","0.251","0.2607","0.2701","0.2793","0.284","0.3262","0.3206","0.3078","0.2871","0.3134","0.3035","0.2936","0.3575","0.5075","0.498","0.4126","0.3263","0.4592","0.393","0.4122","0.4491","0.4613","0.5113","0.8171","0.7712","0.7975","0.8788","1.0136","1.076","1.1956","1.0672","1.1379","1.1587","1.6294","1.9064","1.8454","1.9695","2.2344","2.6129","3.0762","2.7593","3.9046","3.8974","4.4586","4.9703","5.5183","5.5195","5.9322","6.1439","5.9993",
